entity_type,topic,prose_hint
elves,the_fading,The slow fading of the Elves and the lands they must leave; a sorrow worn smooth by long years.
elves,old_grief,"An age-old loss — a drowned realm, a kinsman long dead — spoken of as though it were last night."
elves,the_sea,"The call of the Sea and the road into the West: who will take ship, and who will stay and dwindle."
elves,weighing_the_heart,"A courteous, searching probe — they measure the traveller's purpose and heart before they give trust."
elves,what_stirs_in_the_dark,"Quiet questions about the shadow growing in the world, and rumour of orcs, wolves and fouler things."
dwarves,lost_halls,"A mansion or mine lost to dragon or goblin, and the wealth and kin buried with it."
dwarves,craft_and_gold,"Fine work, rich seams and fair trade — gold, gems and the worth of a thing, named bluntly."
dwarves,old_grudge,"A grievance nursed for generations — a slight, a debt, an enemy not yet repaid."
dwarves,oath_and_kin,"Loyalty to king and folk, and the binding weight of a word once given."
dwarves,guarded_suspicion,"Short, suspicious questions; they say little of their own roads and like prying even less."
hobbits,food_and_comfort,"The next meal, good ale, a warm fire and a soft bed — the real business of life."
hobbits,home_and_family,"Their hole, their garden, their kin and the doings of the next farm over."
hobbits,local_gossip,"Who said what to whom, and the small scandals and rumours of the country round."
hobbits,wary_of_big_folk,"Polite unease at strangers and the wide world, and a wish that adventures would happen elsewhere."
hobbits,simple_kindness,"An offer of food, a tale, or directions, given with homely, unsuspecting goodwill."
humans,news_and_rumor,"News of the road — war, bandits, strange sights — and a hunger for word from elsewhere."
humans,harvest_and_weather,"The plain talk of working folk: crops, beasts, the turning season, hard times or good."
humans,where_are_you_bound,"Frank, careful questions about who the traveller is and where they are going, and why."
humans,a_request_for_help,"A trouble of their own — a beast, a feud, a missing kinsman — and a hope the stranger might aid it."
humans,suspicion_of_strangers,"Guarded, even hostile probing; in hard times an unknown face is a thing to mistrust."
maiar,riddle_and_counsel,"Words that carry more than they say — a warning, a riddle, or counsel from one far older than he seems."
maiar,the_long_defeat,"The great shape of things: the slow war against the Shadow, and the small part each must play in it."
maiar,care_of_living_things,"A turning of talk to beasts, trees and growing things, and the keeping of them."
maiar,testing_the_traveller,"A strange, searching question that seems to weigh the traveller's worth or errand."
maiar,a_strange_offer,"Aid offered on terms of their own — a gift, a path, a rescue — odd and not freely explained."
orcs,threat_and_jeer,"No talk worth the name — snarled threats, jeering, and the promise of a cruel end."
orcs,quarrel_among_themselves,"They bicker and turn on one another over loot, orders or who eats first — a chance overheard."
orcs,interrogation,"Harsh demands flung at a captive: who are you, who sent you, what do you carry — backed by the lash."
